quality,angle,distance (mm),object
15,83.90625,193.0,1
15,85.125,192.5,1
15,86.359375,191.75,1
15,87.578125,191.25,1
15,88.796875,189.75,1
15,91.171875,185.75,1
15,94.8125,185.25,1
15,96.03125,187.75,1
15,97.25,187.75,1
15,98.71875,187.75,1
15,99.671875,188.25,1
15,100.90625,188.0,1
15,102.109375,187.25,1
15,103.328125,186.25,1
15,104.5625,184.75,1
15,108.203125,185.75,1
15,109.40625,187.75,1
15,110.625,188.0,1
15,111.84375,189.0,1
15,65.5,223.0,1
15,68.15625,220.0,1
15,74.234375,206.75,1
15,75.453125,205.5,1
15,76.671875,204.5,1
15,77.890625,202.75,1
15,79.109375,201.0,1
15,84.234375,193.25,1
15,85.203125,192.5,1
15,86.421875,191.75,1
15,87.640625,191.0,1
15,88.859375,189.5,1
15,90.03125,188.25,1
15,91.25,185.25,1
15,94.890625,185.25,1
15,96.109375,187.75,1
15,97.328125,188.0,1
15,98.546875,187.75,1
15,99.75,188.0,1
15,100.96875,187.75,1
15,102.1875,186.5,1
15,103.40625,185.75,1
15,104.625,184.5,1
15,108.265625,185.75,1
15,109.484375,187.75,1
15,110.703125,188.0,1
15,111.921875,189.5,1
15,66.890625,223.0,1
15,66.78125,220.25,1
15,74.171875,206.75,1
15,75.390625,205.5,1
15,76.609375,204.25,1
15,77.828125,202.75,1
15,79.046875,201.0,1
13,81.484375,198.5,1
15,82.71875,194.75,1
15,83.921875,193.0,1
15,85.15625,192.5,1
15,86.375,191.5,1
15,87.578125,191.0,1
15,88.796875,189.5,1
15,89.984375,188.0,1
15,94.84375,187.5,1
15,96.0625,187.75,1
15,97.28125,188.0,1
15,98.5,187.75,1
15,99.703125,188.0,1
15,100.9375,187.75,1
15,102.140625,187.0,1
15,103.359375,186.25,1
15,104.59375,184.5,1
15,108.234375,185.75,1
15,109.703125,187.75,1
15,110.65625,188.0,1
15,111.875,189.5,1
14,65.8125,227.25,1
15,67.28125,222.75,1
15,68.234375,220.0,1
15,74.3125,207.0,1
15,75.53125,205.5,1
15,76.75,204.5,1
15,77.96875,203.0,1
15,79.1875,200.5,1
15,82.84375,196.5,1
15,84.0625,193.25,1
15,85.28125,192.75,1
15,86.09375,191.75,1
15,87.71875,190.75,1
15,88.9375,189.0,1
15,90.125,187.75,1
15,91.34375,185.5,1
15,94.984375,185.75,1
15,96.203125,188.0,1
