quality,angle,distance (mm),object
15,327.28125,217.5,1
15,328.5,214.0,1
15,332.171875,210.5,1
15,333.375,207.0,1
15,334.609375,204.0,1
13,335.8125,203.0,1
15,338.25,201.5,1
15,340.9375,198.5,1
15,341.90625,196.0,1
15,343.109375,194.75,1
15,344.328125,194.25,1
15,345.5625,193.25,1
15,346.765625,193.25,1
15,349.203125,191.75,1
15,350.421875,188.0,1
15,351.640625,186.5,1
15,352.859375,186.5,1
15,354.078125,185.25,1
15,355.296875,184.75,1
15,356.515625,185.0,1
15,357.734375,185.75,1
15,358.953125,186.25,1
15,0.15625,185.75,1
15,1.375,186.0,1
15,2.59375,185.5,1
15,3.8125,185.25,1
15,327.3125,217.25,1
15,328.53125,213.75,1
15,332.21875,210.0,1
15,333.4375,206.5,1
15,334.671875,203.75,1
15,338.3125,201.0,1
15,340.75,198.25,1
15,341.96875,196.0,1
15,343.171875,194.75,1
15,344.390625,194.0,1
15,345.625,193.0,1
15,346.828125,193.0,1
13,349.265625,191.75,1
15,350.484375,188.0,1
15,351.703125,186.5,1
15,352.921875,186.75,1
15,354.15625,185.5,1
15,355.375,184.75,1
15,356.578125,185.0,1
15,357.796875,186.0,1
15,359.03125,186.75,1
15,0.234375,186.25,1
15,1.46875,186.0,1
15,2.671875,185.75,1
15,3.890625,185.5,1
15,326.828125,216.75,1
15,327.53125,213.5,1
15,334.90625,203.25,1
15,338.5625,201.0,1
13,339.765625,199.0,1
15,341.0,197.75,1
15,342.21875,195.75,1
15,343.4375,194.25,1
15,344.65625,193.25,1
15,345.875,192.25,1
15,347.09375,192.75,1
15,349.546875,191.75,1
15,350.765625,188.5,1
15,351.984375,187.0,1
15,353.203125,186.25,1
15,354.375,185.25,1
15,355.59375,185.25,1
15,356.796875,185.5,1
15,358.015625,186.25,1
15,359.234375,186.5,1
15,0.453125,186.0,1
15,1.671875,185.75,1
15,2.890625,185.5,1
15,4.09375,185.25,1
15,326.703125,218.5,1
15,327.90625,215.75,1
15,327.984375,213.75,1
15,334.078125,204.75,1
15,335.296875,204.5,1
13,336.75,204.25,1
14,337.734375,202.0,1
15,338.203125,199.5,1
15,340.171875,197.5,1
15,341.390625,196.5,1
15,342.375,195.25,1
15,343.828125,194.5,1
15,345.0625,193.5,1
15,346.03125,192.25,1
15,349.953125,189.75,1
15,351.171875,186.75,1
15,352.390625,186.75,1
15,353.609375,185.75,1
15,354.765625,184.75,1
15,355.984375,185.0,1
15,357.203125,185.5,1
15,358.421875,185.75,1
15,359.640625,185.75,1
15,0.859375,185.75,1
15,2.078125,185.25,1
15,3.28125,185.0,1
15,4.515625,185.5,1
15,8.15625,188.5,1
15,326.359375,218.0,1
15,328.34375,214.5,1
15,332.046875,210.25,1
15,334.5,205.75,1
15,338.15625,201.5,1
13,339.359375,199.5,1
15,340.59375,198.5,1
15,341.8125,195.75,1
15,343.03125,194.5,1
15,344.265625,194.25,1
15,345.484375,193.5,1
15,346.703125,193.25,1
15,351.59375,186.5,1
15,352.8125,186.5,1
15,353.96875,185.5,1
15,355.421875,184.75,1
15,356.390625,185.0,1
15,357.609375,185.75,1
15,358.828125,186.75,1
15,0.046875,186.5,1
15,1.265625,186.0,1
15,2.484375,185.5,1
15,3.703125,185.25,1
15,326.875,216.5,1
15,328.546875,213.25,1
15,334.984375,203.75,1
13,336.203125,203.25,1
15,338.640625,201.25,1
14,339.859375,198.75,1
15,341.078125,197.5,1
15,342.296875,195.5,1
15,343.765625,194.0,1
15,344.734375,193.25,1
15,345.953125,192.25,1
13,348.390625,191.75,1
15,349.609375,190.5,1
15,350.84375,188.25,1
15,352.0625,186.75,1
15,353.265625,186.0,1
15,354.4375,184.75,1
15,355.65625,185.0,1
15,356.859375,185.5,1
15,358.09375,186.25,1
15,359.296875,186.5,1
15,0.515625,186.0,1
15,1.734375,185.75,1
15,2.953125,185.25,1
15,325.25,219.5,1
15,327.765625,216.0,1
15,328.296875,213.25,1
15,333.390625,205.5,1
15,335.109375,204.75,1
14,335.625,203.75,1
15,338.75,200.75,1
15,339.96875,198.0,1
15,341.1875,197.25,1
15,342.40625,195.0,1
15,343.625,193.75,1
15,344.84375,193.75,1
15,346.0625,192.5,1
13,347.28125,192.25,1
13,348.5,191.75,1
15,349.71875,189.75,1
15,350.9375,187.5,1
15,352.15625,186.75,1
15,353.625,186.0,1
15,354.546875,184.75,1
15,355.765625,185.0,1
15,356.984375,185.25,1
15,358.203125,186.0,1
15,359.421875,186.75,1
15,0.640625,186.25,1
15,1.84375,185.25,1
15,3.0625,184.75,1
15,327.65625,216.25,1
15,328.859375,213.0,1
15,334.96875,203.75,1
15,336.171875,203.25,1
15,338.609375,201.25,1
15,340.421875,197.75,1
15,342.265625,195.5,1
15,343.484375,194.0,1
15,344.6875,193.25,1
15,346.15625,192.25,1
15,349.8125,190.75,1
15,350.78125,188.25,1
15,351.984375,186.75,1
15,353.203125,186.0,1
15,354.453125,184.75,1
15,355.65625,184.75,1
15,356.875,185.0,1
15,358.09375,186.0,1
15,359.3125,186.25,1
15,0.53125,185.75,1
15,2.0,185.75,1
15,2.953125,185.25,1
15,327.375,217.25,1
15,328.59375,213.5,1
15,334.734375,203.0,1
13,335.953125,203.0,1
14,337.96875,201.75,1
15,340.828125,198.75,1
15,342.046875,196.0,1
15,343.25,194.5,1
15,344.46875,194.0,1
15,345.6875,193.25,1
13,346.90625,193.0,1
15,349.34375,191.75,1
15,350.5625,188.0,1
15,351.78125,186.75,1
15,353.0,186.5,1
15,354.21875,185.25,1
15,355.421875,185.0,1
15,356.640625,185.0,1
15,357.859375,185.5,1
15,359.078125,186.0,1
15,0.296875,186.0,1
15,1.515625,185.75,1
15,2.734375,185.5,1
15,3.953125,185.25,1
15,327.171875,217.5,1
15,328.375,214.0,1
15,332.09375,210.0,1
15,334.03125,205.5,1
15,338.171875,201.5,1
15,339.390625,199.5,1
15,340.609375,198.5,1
15,341.828125,195.75,1
15,342.796875,194.5,1
15,344.25,194.25,1
15,345.484375,193.25,1
15,346.6875,193.0,1
13,349.125,191.5,1
15,350.34375,188.0,1
15,351.5625,186.75,1
15,352.78125,187.0,1
15,353.96875,185.5,1
15,355.1875,184.75,1
15,356.390625,185.0,1
15,357.609375,185.5,1
15,358.828125,186.5,1
15,0.046875,186.5,1
15,1.25,186.0,1
15,2.46875,185.5,1
15,3.6875,185.0,1
15,327.03125,218.5,1
15,328.25,214.5,1
15,334.375,205.0,1
15,338.03125,202.0,1
13,339.234375,199.5,1
15,340.453125,198.0,1
15,341.171875,196.0,1
15,342.484375,195.25,1
15,344.109375,194.5,1
15,345.328125,193.5,1
15,346.546875,193.25,1
15,348.859375,191.75,1
15,350.203125,188.5,1
15,351.421875,187.0,1
15,352.640625,187.25,1
15,353.796875,186.0,1
15,355.015625,184.75,1
15,356.21875,185.0,1
15,357.4375,185.75,1
15,358.65625,186.25,1
15,359.875,186.0,1
15,1.078125,185.75,1
15,2.296875,185.25,1
15,3.5,184.75,1
14,8.359375,187.5,1
15,326.015625,218.5,1
15,328.09375,215.0,1
15,329.296875,213.75,1
15,332.953125,205.75,1
15,334.171875,204.75,1
15,334.890625,205.0,1
14,335.84375,204.5,1
14,337.8125,201.25,1
15,338.53125,199.75,1
15,340.25,198.0,1
15,341.484375,196.5,1
15,342.6875,195.5,1
15,343.90625,194.5,1
15,345.125,193.25,1
15,346.328125,192.25,1
15,349.984375,189.75,1
15,351.203125,186.75,1
15,352.421875,186.5,1
15,353.625,185.75,1
15,354.8125,184.75,1
15,356.03125,185.0,1
15,357.234375,185.5,1
15,358.453125,185.75,1
15,359.671875,185.75,1
15,0.875,185.75,1
15,2.09375,185.0,1
15,3.296875,184.75,1
15,327.65625,216.25,1
15,328.859375,213.0,1
15,334.953125,203.75,1
15,336.15625,203.25,1
15,338.59375,201.25,1
15,339.796875,198.5,1
15,341.015625,197.25,1
15,342.234375,195.25,1
15,343.453125,194.0,1
15,344.671875,193.25,1
15,345.546875,192.25,1
14,347.09375,192.5,1
15,349.53125,191.5,1
15,350.75,188.25,1
15,351.84375,186.75,1
15,353.171875,186.0,1
15,354.375,184.75,1
15,355.578125,184.75,1
15,356.796875,185.25,1
15,358.015625,186.0,1
15,359.21875,186.25,1
15,0.4375,185.75,1
15,1.65625,185.75,1
15,2.859375,185.25,1
15,4.078125,185.0,1
15,326.40625,217.25,1
15,328.65625,213.5,1
15,334.75,203.0,1
13,335.96875,203.0,1
15,338.390625,201.75,1
13,339.609375,199.5,1
15,340.828125,198.0,1
15,342.046875,195.75,1
15,343.265625,194.25,1
15,344.484375,193.75,1
15,345.703125,193.0,1
15,346.921875,192.75,1
15,349.34375,191.5,1
15,350.578125,188.0,1
15,351.78125,186.75,1
15,353.0,186.5,1
15,354.203125,185.25,1
15,355.421875,184.75,1
15,356.640625,184.75,1
15,357.859375,185.75,1
15,359.078125,186.5,1
15,0.28125,186.0,1
15,1.5,185.75,1
15,2.71875,185.5,1
15,3.9375,185.25,1
15,326.046875,217.5,1
15,328.046875,213.75,1
15,332.140625,209.75,1
13,333.359375,206.25,1
15,334.453125,203.75,1
15,338.234375,201.0,1
14,339.453125,199.25,1
15,340.671875,198.0,1
15,341.890625,195.5,1
15,343.109375,194.5,1
15,344.3125,194.0,1
15,345.53125,193.0,1
15,346.75,192.75,1
15,349.0625,191.5,1
15,350.421875,188.0,1
15,351.625,186.25,1
15,352.84375,186.5,1
15,354.078125,185.5,1
15,355.296875,184.75,1
15,356.515625,184.75,1
15,357.734375,185.5,1
15,358.953125,186.25,1
15,0.171875,186.25,1
15,1.390625,185.75,1
15,2.609375,185.25,1
15,3.828125,185.0,1
15,327.140625,217.75,1
15,328.34375,214.25,1
15,331.140625,210.0,1
15,334.5,206.0,1
15,338.15625,201.75,1
13,339.375,199.5,1
15,340.578125,198.25,1
15,341.796875,195.75,1
15,343.03125,194.25,1
15,344.234375,194.0,1
15,345.46875,193.25,1
15,346.6875,193.0,1
15,349.125,191.75,1
15,350.34375,188.25,1
15,351.5625,186.5,1
15,352.78125,186.5,1
15,353.96875,185.25,1
15,355.203125,184.75,1
15,356.40625,185.0,1
15,357.625,185.5,1
15,358.84375,186.25,1
15,0.0625,186.25,1
15,1.28125,186.0,1
15,2.5,185.5,1
15,3.71875,184.75,1
15,326.0625,218.25,1
15,327.15625,214.25,1
15,332.015625,209.5,1
15,334.453125,205.5,1
15,338.109375,202.0,1
15,339.3125,199.5,1
15,340.53125,198.25,1
15,341.765625,195.75,1
15,342.96875,194.75,1
15,344.1875,194.5,1
15,345.40625,193.25,1
15,346.625,193.0,1
12,348.65625,191.75,1
15,350.296875,188.25,1
15,351.5,186.5,1
15,352.734375,186.5,1
15,353.890625,185.25,1
15,355.09375,184.75,1
15,356.3125,185.0,1
15,357.53125,185.5,1
15,358.75,186.5,1
15,359.96875,186.25,1
15,1.171875,185.75,1
15,2.390625,185.25,1
15,3.609375,184.5,1
13,8.453125,187.5,1
15,325.140625,220.25,1
15,327.703125,216.25,1
15,328.921875,213.0,1
15,335.015625,203.75,1
15,335.984375,203.25,1
15,338.671875,201.0,1
13,339.875,198.25,1
15,341.09375,197.25,1
15,342.3125,194.75,1
15,343.53125,193.5,1
15,344.75,193.0,1
15,345.953125,192.0,1
13,348.390625,191.5,1
14,349.59375,190.5,1
15,350.8125,188.25,1
15,352.046875,186.75,1
15,353.25,186.0,1
15,354.421875,184.75,1
15,355.640625,184.75,1
15,356.859375,185.0,1
15,358.0625,185.75,1
15,359.28125,186.25,1
15,0.484375,185.75,1
15,1.703125,185.5,1
15,2.90625,185.25,1
15,4.125,185.0,1
13,8.96875,191.5,1
15,326.6875,218.5,1
15,327.890625,215.75,1
15,329.09375,213.25,1
15,333.96875,204.5,1
15,335.1875,203.75,1
15,338.828125,201.0,1
15,340.046875,197.75,1
15,340.515625,197.0,1
15,342.46875,195.25,1
15,343.6875,194.25,1
15,344.90625,193.5,1
15,346.109375,192.25,1
15,349.765625,190.25,1
15,350.984375,187.5,1
15,352.1875,187.0,1
15,353.40625,186.25,1
15,354.578125,184.75,1
15,355.671875,185.0,1
15,357.0,185.25,1
15,358.21875,185.75,1
15,359.6875,186.5,1
15,0.640625,186.0,1
15,1.84375,185.25,1
15,3.0625,184.75,1
15,326.046875,218.25,1
15,328.3125,214.25,1
15,331.9375,209.5,1
15,334.375,205.25,1
15,337.515625,202.0,1
15,339.21875,199.5,1
15,340.4375,198.0,1
15,341.25,196.0,1
15,342.875,195.0,1
15,344.078125,194.25,1
15,345.296875,193.25,1
15,346.515625,193.0,1
15,348.9375,191.75,1
15,350.15625,188.75,1
15,351.375,187.25,1
15,352.59375,187.0,1
15,353.796875,185.75,1
15,355.015625,184.75,1
15,356.21875,185.0,1
15,357.421875,185.5,1
15,358.640625,186.0,1
15,359.859375,186.0,1
15,1.078125,185.75,1
15,2.28125,185.25,1
15,3.5,184.5,1
13,8.34375,187.5,1
15,326.375,218.5,1
15,327.078125,215.75,1
15,329.03125,213.25,1
15,333.90625,205.25,1
15,335.109375,204.5,1
15,338.75,201.0,1
15,339.96875,197.75,1
15,341.1875,197.0,1
15,342.40625,194.75,1
15,343.859375,193.75,1
15,344.828125,193.5,1
15,346.046875,192.25,1
15,349.6875,190.25,1
15,350.90625,187.75,1
15,352.109375,186.75,1
15,353.34375,186.0,1
15,354.5625,184.75,1
15,355.78125,184.75,1
15,356.984375,185.0,1
15,358.203125,185.75,1
15,359.421875,186.5,1
15,0.640625,186.0,1
15,1.84375,185.25,1
15,3.0625,184.75,1
15,327.546875,216.5,1
15,328.75,213.0,1
15,334.875,203.0,1
13,336.078125,203.0,1
15,338.5,201.5,1
15,340.9375,198.0,1
15,342.15625,195.25,1
15,343.375,193.75,1
15,343.96875,193.5,1
15,345.796875,192.75,1
14,347.015625,192.5,1
13,349.4375,191.75,1
15,350.671875,188.0,1
15,351.890625,186.5,1
15,353.09375,186.0,1
15,354.34375,184.75,1
15,355.546875,185.0,1
15,356.765625,185.0,1
15,357.984375,185.75,1
15,359.203125,186.25,1
15,0.421875,185.75,1
15,1.625,185.5,1
15,2.84375,185.25,1
15,4.0625,185.0,1
15,326.171875,217.25,1
15,327.390625,213.75,1
15,332.15625,209.75,1
