quality,angle,distance (mm),object
14,99.515625,176.25,1
15,100.765625,177.25,1
13,104.53125,179.75,1
15,65.765625,181.75,1
15,67.03125,178.75,1
15,68.28125,175.5,1
15,69.546875,175.25,1
15,70.796875,175.75,1
15,72.046875,175.0,1
15,73.3125,174.25,1
15,74.5625,173.5,1
15,78.859375,170.75,1
15,80.125,168.75,1
15,81.375,168.5,1
15,82.625,168.0,1
15,83.640625,166.75,1
15,85.140625,166.0,1
15,86.40625,166.5,1
15,87.65625,167.0,1
15,88.90625,167.5,1
15,90.171875,168.25,1
15,91.359375,168.75,1
15,92.59375,168.75,1
15,93.859375,169.25,1
13,99.625,176.25,1
13,100.875,177.25,1
14,104.640625,179.75,1
15,66.09375,179.75,1
15,67.34375,176.75,1
15,71.125,175.5,1
15,72.390625,174.75,1
15,73.640625,173.75,1
15,74.90625,173.0,1
15,78.9375,170.75,1
15,80.4375,169.0,1
15,81.703125,170.0,1
15,82.96875,168.5,1
15,84.234375,166.0,1
15,88.0,166.5,1
15,89.265625,167.5,1
15,90.453125,167.75,1
15,91.703125,168.5,1
15,92.96875,169.0,1
15,96.21875,171.5,1
15,99.984375,175.5,1
14,101.25,178.0,1
14,105.015625,180.75,1
15,108.78125,184.25,1
15,110.03125,186.5,1
15,111.296875,187.75,1
15,66.703125,179.25,1
15,67.96875,176.0,1
15,69.21875,174.75,1
15,70.484375,175.25,1
15,71.734375,175.5,1
15,73.0,174.5,1
15,74.265625,173.5,1
15,76.015625,171.25,1
15,77.28125,169.5,1
15,78.53125,169.25,1
15,79.796875,169.0,1
15,83.578125,168.5,1
15,84.84375,166.5,1
15,86.09375,166.25,1
15,87.34375,167.25,1
15,88.609375,167.75,1
15,89.859375,168.25,1
15,91.09375,168.25,1
15,92.34375,168.75,1
15,93.59375,169.25,1
15,99.375,175.75,1
15,100.625,177.0,1
14,104.390625,179.5,1
15,66.15625,179.75,1
15,67.40625,176.5,1
15,71.1875,175.5,1
15,72.4375,174.75,1
15,73.703125,173.75,1
14,74.953125,173.0,1
15,83.03125,167.25,1
15,84.28125,165.5,1
15,88.046875,166.0,1
15,89.3125,167.5,1
15,90.5625,167.75,1
15,91.8125,168.5,1
15,93.078125,169.0,1
15,94.328125,169.75,1
13,97.59375,173.25,1
15,100.109375,176.5,1
15,101.375,178.0,1
15,110.1875,186.75,1
15,65.671875,181.5,1
15,66.953125,178.75,1
15,68.21875,175.5,1
15,69.484375,175.25,1
15,70.734375,175.75,1
15,71.984375,175.0,1
15,73.25,174.25,1
15,74.5,173.5,1
15,78.78125,170.75,1
15,80.046875,168.75,1
15,81.3125,168.5,1
15,82.5625,168.0,1
15,83.828125,166.75,1
15,85.078125,166.0,1
15,86.34375,166.5,1
15,87.59375,167.0,1
