quality,angle,distance (mm),object
15,322.078125,220.0,0
15,323.84375,216.75,0
15,325.015625,213.75,0
15,326.171875,211.0,0
15,327.34375,208.5,0
15,328.5,206.25,0
15,329.65625,203.75,0
15,330.328125,201.75,0
15,331.984375,199.75,0
15,332.734375,197.5,0
15,334.3125,196.25,0
15,335.46875,194.75,0
15,336.625,193.0,0
15,337.796875,191.75,0
15,338.953125,190.25,0
15,340.125,189.0,0
15,341.28125,188.0,0
15,342.453125,187.25,0
15,343.609375,186.5,0
15,344.765625,185.75,0
15,345.9375,185.0,0
15,347.09375,184.25,0
15,348.265625,183.75,0
15,349.421875,183.25,0
15,350.578125,182.75,0
15,351.75,182.5,0
15,352.90625,182.5,0
15,354.078125,182.25,0
15,355.234375,182.25,0
15,356.40625,182.25,0
15,357.5625,182.25,0
15,358.71875,182.75,0
15,0.140625,183.0,0
15,1.046875,183.25,0
15,2.203125,183.75,0
15,3.625,184.25,0
15,4.53125,185.0,0
15,5.6875,185.5,0
15,6.859375,186.25,0
15,8.015625,187.0,0
15,9.1875,188.0,0
15,10.34375,188.75,0
15,11.171875,190.0,0
15,12.65625,191.0,0
15,13.578125,192.0,0
15,14.984375,193.25,0
15,15.53125,194.75,0
15,17.3125,196.25,0
15,18.53125,197.75,0
15,19.6875,199.25,0
15,20.4375,201.0,0
15,22.015625,203.0,0
15,23.1875,205.0,0
15,24.34375,207.0,0
15,25.390625,209.0,0
15,25.796875,211.5,0
15,322.6875,219.25,0
15,324.078125,216.25,0
15,325.234375,213.25,0
15,326.40625,210.5,0
15,327.5625,208.0,0
15,328.71875,205.5,0
15,329.890625,203.5,0
15,330.296875,201.25,0
15,331.453125,199.5,0
15,333.375,197.5,0
15,334.53125,196.0,0
15,335.703125,194.25,0
15,336.859375,192.75,0
15,338.015625,191.25,0
15,339.171875,190.25,0
15,340.34375,189.0,0
15,341.5,187.75,0
15,342.65625,186.75,0
15,343.828125,186.25,0
15,344.984375,185.5,0
15,346.140625,184.75,0
15,347.296875,184.25,0
15,348.46875,183.75,0
15,349.625,183.25,0
15,350.78125,182.75,0
15,351.953125,182.75,0
15,353.109375,182.5,0
15,354.3125,182.25,0
15,355.46875,182.25,0
15,356.640625,182.0,0
15,357.796875,182.25,0
15,358.96875,182.5,0
15,0.0,183.0,0
15,1.28125,183.5,0
15,2.453125,184.0,0
15,3.609375,184.5,0
15,4.78125,185.0,0
15,5.9375,185.5,0
15,7.09375,186.25,0
15,8.265625,187.25,0
15,9.421875,188.25,0
15,10.578125,189.25,0
15,11.75,190.25,0
15,12.90625,191.25,0
15,14.078125,192.25,0
15,15.234375,193.5,0
15,16.390625,195.0,0
15,17.5625,196.5,0
15,18.734375,198.0,0
15,19.109375,199.5,0
15,21.046875,201.5,0
15,22.21875,203.5,0
15,23.375,205.25,0
15,24.53125,207.25,0
15,25.703125,209.5,0
15,25.75,211.75,0
15,28.03125,214.25,0
15,322.90625,219.5,0
15,324.046875,216.25,0
15,325.203125,213.25,0
15,326.375,210.5,0
15,327.53125,208.0,0
15,327.6875,205.5,0
15,329.90625,203.5,0
15,330.375,201.25,0
15,332.234375,199.5,0
15,333.390625,197.5,0
15,334.5625,195.75,0
15,335.15625,194.25,0
15,336.890625,192.5,0
15,338.046875,191.25,0
15,338.8125,190.25,0
15,340.375,189.0,0
15,341.546875,187.75,0
15,342.59375,186.75,0
15,343.875,186.25,0
15,345.046875,185.5,0
15,346.203125,184.75,0
15,347.359375,184.25,0
15,348.53125,183.75,0
15,349.6875,183.25,0
15,350.859375,182.75,0
15,352.03125,182.5,0
15,353.1875,182.25,0
15,354.359375,182.0,0
15,355.515625,182.0,0
15,356.6875,182.0,0
15,357.84375,182.25,0
15,359.015625,182.5,0
15,0.046875,183.0,0
15,1.34375,183.5,0
15,2.5,184.0,0
15,3.65625,184.5,0
15,4.828125,185.0,0
15,6.0,185.75,0
15,7.15625,186.5,0
15,8.328125,187.25,0
15,9.484375,188.25,0
15,10.65625,189.25,0
15,11.8125,190.25,0
15,12.96875,191.25,0
15,14.140625,192.25,0
15,15.0625,193.5,0
15,16.46875,195.0,0
15,17.640625,196.5,0
15,18.78125,198.0,0
15,19.953125,199.75,0
15,21.109375,201.5,0
15,22.28125,203.5,0
15,23.4375,205.5,0
15,24.609375,207.5,0
15,25.765625,209.75,0
15,26.9375,212.0,0
15,27.84375,214.5,0
15,322.765625,219.5,0
15,323.90625,216.5,0
15,325.078125,213.75,0
15,326.234375,210.75,0
15,327.390625,208.25,0
15,328.0625,206.0,0
15,329.796875,203.75,0
15,330.953125,201.5,0
15,332.125,199.5,0
15,333.28125,197.5,0
15,334.453125,196.0,0
15,335.609375,194.5,0
15,336.78125,192.75,0
15,337.609375,191.5,0
15,339.109375,190.25,0
15,340.265625,189.0,0
15,341.1875,187.75,0
15,342.59375,187.0,0
15,343.75,186.25,0
15,344.921875,185.5,0
15,346.09375,184.75,0
15,347.25,184.25,0
15,348.421875,183.75,0
15,349.578125,183.25,0
15,350.75,182.75,0
15,351.90625,182.75,0
15,353.0625,182.5,0
15,354.234375,182.5,0
15,355.40625,182.25,0
15,356.5625,182.25,0
15,357.734375,182.25,0
15,358.890625,182.5,0
15,0.046875,182.75,0
15,1.21875,183.25,0
15,2.375,184.0,0
15,3.546875,184.5,0
15,4.703125,185.0,0
15,5.859375,185.5,0
15,7.03125,186.25,0
15,8.1875,187.25,0
15,9.359375,188.25,0
15,10.515625,189.0,0
15,11.6875,190.0,0
15,12.84375,191.0,0
15,14.015625,192.0,0
15,15.171875,193.25,0
15,16.34375,194.75,0
15,17.5,196.5,0
15,18.65625,198.0,0
15,19.8125,199.5,0
15,20.96875,201.0,0
15,21.171875,203.0,0
15,23.296875,205.25,0
15,24.46875,207.25,0
15,25.296875,209.25,0
15,322.96875,219.25,0
15,324.109375,216.0,0
15,325.28125,213.0,0
15,326.4375,210.5,0
15,327.59375,207.75,0
15,328.765625,205.5,0
15,329.546875,203.5,0
15,331.125,201.25,0
15,332.296875,199.25,0
15,333.453125,197.5,0
15,334.625,195.75,0
15,335.78125,194.25,0
15,336.953125,192.5,0
15,338.109375,191.25,0
15,339.28125,190.0,0
15,340.4375,189.0,0
15,341.609375,187.75,0
15,342.765625,186.75,0
15,343.9375,186.0,0
15,345.09375,185.25,0
15,346.25,184.5,0
15,347.421875,184.0,0
15,348.59375,183.5,0
15,349.75,183.0,0
15,350.921875,182.75,0
15,352.078125,182.5,0
15,353.25,182.25,0
15,354.359375,182.0,0
15,355.53125,182.0,0
15,356.703125,182.25,0
15,357.859375,182.25,0
15,359.015625,182.5,0
15,0.171875,183.0,0
15,1.34375,183.5,0
15,2.5,184.0,0
15,3.671875,184.5,0
15,4.828125,185.0,0
15,6.0,185.75,0
15,7.15625,186.5,0
15,8.3125,187.25,0
15,9.46875,188.25,0
15,10.640625,189.25,0
15,11.796875,190.25,0
15,12.96875,191.25,0
15,14.125,192.25,0
15,15.28125,193.5,0
15,16.453125,195.0,0
15,17.609375,196.5,0
15,18.78125,198.0,0
15,19.953125,199.75,0
15,21.09375,201.5,0
15,22.265625,203.5,0
15,22.671875,205.5,0
15,24.59375,207.5,0
15,25.75,209.75,0
15,26.90625,211.75,0
15,27.65625,214.25,0
15,322.671875,220.0,0
15,323.8125,216.5,0
15,324.96875,214.0,0
15,326.125,211.0,0
15,327.296875,208.5,0
15,328.453125,206.25,0
15,329.625,203.75,0
15,330.765625,201.75,0
15,331.921875,199.75,0
15,333.09375,197.75,0
15,334.25,196.25,0
15,335.40625,194.75,0
15,336.5625,193.25,0
15,337.734375,191.75,0
15,338.890625,190.5,0
15,340.046875,189.25,0
15,341.203125,188.25,0
15,342.375,187.25,0
15,343.53125,186.5,0
15,344.6875,185.75,0
15,345.859375,185.0,0
15,347.015625,184.25,0
15,348.171875,183.75,0
15,349.328125,183.25,0
15,350.484375,182.75,0
15,351.640625,182.5,0
15,352.8125,182.25,0
15,353.953125,182.0,0
15,355.109375,182.0,0
15,356.28125,182.25,0
15,357.421875,182.25,0
15,358.59375,182.5,0
15,359.75,182.75,0
15,0.90625,183.25,0
