gamma,train_accuracy,test_accuracy,inference_accuracy,train_f1,test_f1,inference_f1,inference_latency
10,0.953746647736236,0.9519551307370251,0.9222576149711328,0.9537272088371732,0.951942578363227,0.9220692462236508,8.6140878200531
100,0.9587001104275122,0.9523343076072359,0.9271351781803703,0.9586887658561772,0.9523308490041337,0.9270291944364609,12.560494184494019
