quality,angle,distance (mm),object
15,331.140625,215.5,1
15,331.328125,212.5,1
15,333.59375,210.25,1
15,334.84375,207.0,1
15,336.0625,204.75,1
15,337.296875,204.25,1
15,338.53125,203.0,1
15,339.75,201.5,1
15,340.984375,200.0,1
15,342.21875,196.75,1
15,343.46875,193.75,1
15,344.578125,193.25,1
15,345.921875,192.75,1
15,347.15625,191.75,1
15,348.390625,191.0,1
15,349.625,190.25,1
15,350.859375,190.0,1
15,3.109375,191.25,1
15,4.328125,188.5,1
15,10.46875,194.5,1
13,21.53125,208.5,1
15,327.265625,216.25,1
15,329.0,214.75,1
15,330.25,215.0,1
15,330.203125,214.75,1
15,332.578125,212.25,1
15,333.8125,208.5,1
15,335.171875,205.75,1
15,336.40625,205.25,1
15,336.953125,203.75,1
15,338.875,202.5,1
15,340.09375,200.25,1
15,341.328125,198.75,1
15,342.5625,196.5,1
15,344.046875,193.75,1
15,344.90625,193.5,1
15,346.265625,192.25,1
15,347.5,190.75,1
15,348.734375,190.5,1
15,349.953125,190.0,1
15,351.1875,190.0,1
15,3.421875,188.75,1
15,4.65625,188.25,1
15,10.796875,195.0,1
15,326.421875,216.0,1
15,328.9375,214.5,1
15,330.171875,215.0,1
15,331.40625,214.75,1
15,332.625,212.25,1
15,333.859375,209.0,1
15,335.09375,206.25,1
15,336.3125,205.0,1
15,337.796875,203.25,1
15,338.78125,202.0,1
15,340.0,200.25,1
15,341.234375,198.75,1
15,342.46875,196.75,1
15,343.703125,194.0,1
15,344.921875,193.5,1
15,346.15625,192.25,1
15,347.390625,191.0,1
15,348.609375,190.5,1
15,349.421875,189.75,1
15,351.078125,189.75,1
15,3.328125,188.75,1
15,4.5625,188.25,1
13,9.46875,194.75,1
15,10.078125,194.75,1
13,21.8125,208.75,1
15,327.265625,216.25,1
15,331.359375,214.75,1
15,332.578125,212.25,1
15,333.828125,210.0,1
15,334.09375,207.0,1
15,336.28125,205.0,1
15,337.515625,203.25,1
15,338.734375,202.0,1
15,339.96875,201.0,1
15,341.203125,199.5,1
15,342.4375,196.75,1
15,343.671875,194.0,1
15,344.890625,193.5,1
15,346.125,192.0,1
15,347.359375,191.0,1
15,348.578125,190.5,1
15,349.8125,189.75,1
15,351.046875,189.75,1
15,3.34375,188.5,1
15,4.578125,188.25,1
15,10.71875,194.75,1
13,21.796875,208.5,1
15,326.734375,216.5,1
15,331.421875,214.75,1
15,331.5,212.25,1
15,333.890625,209.0,1
15,335.109375,206.25,1
15,336.34375,205.0,1
15,337.5625,203.25,1
15,338.796875,202.0,1
15,340.03125,200.25,1
15,341.265625,198.75,1
15,342.484375,196.5,1
15,343.71875,193.75,1
15,344.953125,193.25,1
15,346.1875,192.0,1
15,347.421875,190.75,1
15,348.640625,190.5,1
15,349.625,190.0,1
15,351.109375,190.0,1
15,3.390625,188.5,1
15,4.625,188.0,1
15,10.765625,195.0,1
13,21.8125,208.5,1
15,327.59375,216.0,1
15,330.03125,214.75,1
15,332.578125,212.25,1
15,333.8125,210.0,1
15,335.046875,207.0,1
15,336.265625,205.0,1
15,337.5,203.25,1
15,338.734375,202.0,1
15,339.96875,201.0,1
15,341.203125,199.75,1
15,342.4375,196.75,1
15,343.671875,194.0,1
15,344.765625,193.5,1
15,346.125,192.0,1
15,347.359375,190.75,1
15,348.59375,191.0,1
15,349.8125,190.25,1
15,351.046875,189.75,1
15,3.28125,188.5,1
15,4.515625,188.25,1
15,10.140625,194.75,1
14,21.703125,208.75,1
15,327.59375,216.0,1
15,330.28125,214.75,1
15,332.546875,212.5,1
15,333.78125,210.0,1
15,335.015625,207.0,1
15,336.25,205.0,1
15,337.46875,203.25,1
15,338.703125,201.75,1
15,340.1875,201.0,1
15,341.171875,199.75,1
15,342.390625,196.75,1
15,343.640625,194.0,1
15,344.859375,193.5,1
15,346.09375,192.25,1
15,347.328125,191.25,1
15,348.5625,190.75,1
15,349.78125,190.0,1
15,351.015625,189.75,1
15,3.25,188.5,1
15,4.484375,188.25,1
14,10.609375,194.75,1
15,331.265625,215.25,1
15,332.5,212.75,1
15,333.734375,210.0,1
15,334.40625,207.0,1
