quality,angle,distance,object
15,286.65625,252.0,1
15,286.765625,252.0,1
15,286.765625,252.0,1
15,286.78125,252.0,1
15,286.796875,252.0,1
15,286.796875,252.0,1
15,286.8125,252.0,1
15,286.8125,252.5,1
15,286.859375,252.0,1
15,286.890625,252.0,1
15,286.90625,252.0,1
15,286.921875,251.75,1
15,286.9375,252.0,1
15,286.9375,252.0,1
15,286.953125,251.5,1
15,286.953125,252.0,1
15,286.953125,252.0,1
15,286.96875,252.0,1
15,286.984375,251.5,1
15,287.0,251.0,1
15,287.0,251.25,1
15,287.015625,250.25,1
15,287.015625,251.25,1
15,287.03125,250.5,1
15,287.03125,251.5,1
15,287.046875,249.75,1
15,287.0625,252.0,1
15,287.09375,249.75,1
15,287.09375,251.75,1
15,287.109375,251.0,1
15,287.125,250.25,1
15,287.140625,250.25,1
15,287.15625,249.75,1
15,287.171875,250.75,1
15,287.1875,249.25,1
15,287.1875,251.25,1
15,287.1875,251.5,1
15,287.1875,251.75,1
15,287.1875,252.0,1
15,287.203125,251.0,1
15,287.203125,252.25,1
15,287.21875,252.0,1
15,287.234375,249.0,1
15,287.234375,252.0,1
15,287.25,249.25,1
15,287.25,252.0,1
15,287.296875,249.0,1
15,287.296875,252.0,1
15,287.296875,252.25,1
15,287.3125,250.75,1
15,287.328125,252.0,1
15,287.328125,252.0,1
15,287.34375,250.0,1
15,287.34375,252.0,1
15,287.34375,252.0,1
15,287.359375,249.0,1
15,287.359375,249.0,1
15,287.375,248.75,1
15,287.375,248.75,1
15,287.375,249.0,1
15,287.375,249.0,1
15,287.375,252.25,1
15,287.390625,248.75,1
15,287.390625,251.5,1
15,287.390625,252.0,1
15,287.40625,248.75,1
15,287.40625,248.75,1
15,287.40625,249.0,1
15,287.40625,249.25,1
15,287.40625,249.25,1
15,287.40625,251.5,1
15,287.421875,248.75,1
15,287.421875,248.75,1
15,287.421875,248.75,1
15,287.421875,249.0,1
15,287.4375,248.75,1
15,287.4375,249.0,1
15,287.4375,251.5,1
15,287.4375,252.0,1
15,287.4375,252.0,1
15,287.4375,252.0,1
15,287.453125,249.0,1
15,287.453125,252.0,1
15,287.453125,252.0,1
15,287.46875,252.5,1
15,287.484375,249.0,1
15,287.484375,250.0,1
15,287.484375,251.75,1
15,287.515625,248.75,1
15,287.515625,248.75,1
15,287.515625,249.0,1
15,287.53125,248.75,1
15,287.53125,248.75,1
15,287.53125,249.0,1
15,287.53125,250.75,1
15,287.5625,249.75,1
15,287.578125,248.75,1
15,287.578125,249.0,1
15,287.578125,249.0,1
15,287.578125,251.0,1
15,287.59375,249.0,1
15,287.59375,249.0,1
15,287.59375,252.0,1
15,287.609375,248.75,1
15,287.609375,248.75,1
15,287.609375,249.25,1
15,287.609375,249.75,1
15,287.609375,250.75,1
15,287.609375,252.0,1
15,287.625,248.75,1
15,287.625,249.0,1
15,287.625,249.0,1
15,287.625,249.0,1
15,287.625,249.0,1
15,287.640625,248.0,1
15,287.640625,248.25,1
15,287.640625,248.75,1
15,287.640625,248.75,1
15,287.640625,252.0,1
15,287.65625,248.5,1
15,287.671875,248.75,1
15,287.6875,247.75,1
15,287.6875,248.75,1
15,287.6875,248.75,1
15,287.703125,248.25,1
15,287.703125,248.75,1
15,287.703125,248.75,1
15,287.703125,248.75,1
15,287.703125,249.0,1
15,287.703125,249.0,1
15,287.703125,250.25,1
15,287.71875,248.0,1
15,287.71875,251.75,1
15,287.71875,251.75,1
15,287.734375,247.75,1
15,287.734375,248.5,1
15,287.734375,249.0,1
15,287.75,249.0,1
15,287.75,252.0,1
15,287.765625,249.0,1
15,287.765625,249.0,1
15,287.78125,248.0,1
15,287.78125,249.0,1
15,287.78125,249.0,1
15,287.78125,249.0,1
15,287.796875,248.25,1
15,287.796875,248.75,1
15,287.796875,248.75,1
15,287.796875,249.0,1
15,287.8125,248.25,1
15,287.8125,250.0,1
15,287.8125,252.0,1
15,287.8125,252.0,1
15,287.828125,248.25,1
15,287.828125,248.75,1
15,287.828125,249.5,1
15,287.828125,250.5,1
15,287.828125,252.0,1
15,287.84375,248.0,1
15,287.84375,248.75,1
15,287.84375,248.75,1
15,287.84375,249.0,1
15,287.84375,249.0,1
15,287.84375,249.0,1
15,287.859375,249.25,1
15,287.875,248.25,1
15,287.875,248.75,1
15,287.875,252.0,1
15,287.890625,247.75,1
15,287.890625,251.25,1
15,287.890625,251.75,1
15,287.890625,252.0,1
15,287.90625,247.25,1
15,287.90625,247.25,1
15,287.90625,248.25,1
15,287.90625,248.5,1
15,287.921875,252.25,1
15,287.9375,248.25,1
15,287.9375,248.5,1
15,287.9375,249.25,1
15,287.953125,248.25,1
15,287.953125,249.0,1
15,287.96875,247.5,1
15,287.96875,249.25,1
15,287.96875,251.5,1
15,287.96875,252.0,1
15,287.984375,250.75,1
15,287.984375,252.0,1
15,288.0,247.25,1
15,288.0,248.25,1
15,288.0,248.5,1
15,288.0,248.5,1
15,288.0,248.75,1
15,288.0,249.0,1
15,288.0,250.75,1
15,288.0,252.0,1
15,288.015625,247.25,1
15,288.015625,247.25,1
15,288.015625,248.75,1
15,288.015625,252.0,1
15,288.03125,248.5,1
15,288.03125,248.5,1
15,288.046875,247.25,1
15,288.046875,247.75,1
15,288.046875,247.75,1
15,288.046875,248.75,1
15,288.046875,250.5,1
15,288.0625,248.75,1
15,288.078125,246.75,1
15,288.078125,247.25,1
15,288.078125,248.0,1
15,288.078125,248.25,1
15,288.078125,252.0,1
15,288.109375,247.25,1
15,288.109375,248.25,1
15,288.109375,249.75,1
15,288.125,246.75,1
15,288.125,247.0,1
15,288.125,247.5,1
15,288.125,248.25,1
15,288.125,248.75,1
15,288.140625,247.0,1
15,288.140625,247.5,1
15,288.140625,247.75,1
15,288.140625,248.75,1
15,288.15625,246.75,1
15,288.15625,248.75,1
15,288.15625,248.75,1
15,288.15625,251.75,1
15,288.15625,252.0,1
15,288.171875,246.75,1
15,288.171875,248.0,1
15,288.1875,247.75,1
15,288.1875,251.0,1
15,288.203125,246.5,1
15,288.203125,246.75,1
15,288.203125,246.75,1
15,288.203125,247.5,1
15,288.203125,247.75,1
15,288.21875,247.25,1
15,288.21875,247.75,1
15,288.21875,249.0,1
15,288.21875,252.25,1
15,288.234375,246.25,1
15,288.234375,246.75,1
15,288.234375,247.5,1
15,288.234375,248.5,1
15,288.234375,248.75,1
15,288.234375,249.0,1
15,288.234375,249.25,1
15,288.25,247.25,1
15,288.25,248.0,1
15,288.25,249.0,1
15,288.265625,248.0,1
15,288.265625,248.25,1
15,288.265625,248.75,1
15,288.265625,248.75,1
15,288.265625,249.0,1
15,288.265625,252.0,1
15,288.28125,245.5,1
15,288.28125,247.0,1
15,288.28125,247.25,1
15,288.28125,248.0,1
15,288.28125,248.75,1
15,288.28125,252.0,1
15,288.296875,247.25,1
15,288.296875,251.5,1
15,288.3125,246.75,1
15,288.3125,248.75,1
15,288.3125,249.75,1
15,288.328125,244.25,1
15,288.328125,246.5,1
15,288.328125,247.0,1
15,288.328125,247.25,1
15,288.328125,247.25,1
15,288.328125,247.5,1
15,288.328125,248.75,1
15,288.328125,249.0,1
15,288.34375,244.5,1
15,288.34375,246.0,1
15,288.34375,246.75,1
15,288.34375,247.25,1
15,288.34375,247.75,1
15,288.34375,248.25,1
15,288.34375,248.5,1
15,288.34375,248.75,1
15,288.34375,249.0,1
15,288.34375,249.25,1
15,288.34375,252.0,1
15,288.359375,244.75,1
15,288.359375,247.0,1
15,288.359375,248.0,1
15,288.375,248.0,1
15,288.375,248.75,1
15,288.375,249.0,1
15,288.390625,244.0,1
15,288.390625,244.25,1
15,288.390625,246.75,1
15,288.390625,247.5,1
15,288.390625,247.75,1
15,288.390625,249.0,1
15,288.40625,244.25,1
15,288.40625,244.5,1
15,288.40625,244.75,1
15,288.40625,245.5,1
15,288.40625,246.5,1
15,288.40625,246.75,1
15,288.40625,248.25,1
15,288.40625,248.75,1
15,288.40625,251.5,1
15,288.421875,246.75,1
15,288.421875,246.75,1
15,288.421875,246.75,1
15,288.421875,247.0,1
15,288.421875,247.75,1
15,288.421875,247.75,1
15,288.421875,247.75,1
15,288.421875,248.75,1
15,288.421875,248.75,1
15,288.421875,249.0,1
15,288.421875,249.0,1
15,288.4375,244.5,1
15,288.4375,246.5,1
15,288.4375,246.75,1
15,288.4375,247.25,1
15,288.4375,248.75,1
15,288.4375,251.5,1
15,288.453125,246.0,1
15,288.453125,246.75,1
15,288.453125,247.0,1
15,288.453125,247.0,1
15,288.453125,248.75,1
15,288.46875,244.25,1
15,288.46875,245.25,1
15,288.46875,246.25,1
15,288.46875,246.75,1
15,288.46875,246.75,1
15,288.46875,247.0,1
15,288.46875,247.25,1
15,288.46875,248.5,1
15,288.484375,244.25,1
15,288.484375,246.75,1
15,288.484375,247.0,1
15,288.484375,248.0,1
15,288.484375,248.25,1
15,288.484375,249.0,1
15,288.5,244.5,1
15,288.5,245.25,1
15,288.5,246.75,1
15,288.5,246.75,1
15,288.5,247.75,1
15,288.5,247.75,1
15,288.5,252.25,1
15,288.5,252.25,1
15,288.515625,243.75,1
15,288.515625,243.75,1
15,288.515625,243.75,1
15,288.515625,243.75,1
15,288.515625,247.75,1
15,288.53125,246.75,1
15,288.53125,247.0,1
15,288.53125,248.0,1
15,288.53125,249.0,1
15,288.546875,244.5,1
15,288.546875,247.25,1
15,288.546875,248.75,1
15,288.546875,249.0,1
15,288.546875,249.25,1
15,288.546875,251.0,1
