quality,angle,distance,object
15,65.484375,302.75,1
15,65.515625,302.25,1
15,65.53125,302.25,1
15,65.5625,302.5,1
15,65.578125,302.25,1
15,65.59375,302.75,1
15,65.59375,302.75,1
15,65.609375,301.75,1
15,65.609375,302.25,1
15,65.609375,302.25,1
15,65.609375,302.5,1
15,65.625,301.75,1
15,65.625,302.5,1
15,65.640625,302.25,1
15,65.640625,302.25,1
15,65.640625,302.5,1
15,65.640625,302.75,1
15,65.640625,302.75,1
15,65.65625,302.0,1
15,65.65625,302.0,1
15,65.65625,302.5,1
15,65.65625,302.75,1
15,65.671875,302.25,1
15,65.671875,302.5,1
15,65.6875,302.25,1
15,65.6875,302.25,1
15,65.6875,302.5,1
15,65.703125,302.0,1
15,65.703125,302.25,1
15,65.703125,302.25,1
15,65.703125,302.75,1
15,65.71875,302.0,1
15,65.71875,302.25,1
15,65.71875,302.25,1
15,65.734375,302.0,1
15,65.734375,302.5,1
15,65.734375,302.5,1
15,65.734375,303.0,1
15,65.75,302.25,1
15,65.765625,302.5,1
15,65.78125,302.25,1
15,65.78125,302.25,1
15,65.78125,302.25,1
15,65.78125,302.25,1
15,65.78125,302.5,1
15,65.796875,301.75,1
15,65.796875,302.0,1
15,65.796875,302.25,1
15,65.796875,302.5,1
15,65.8125,302.0,1
15,65.8125,302.25,1
15,65.8125,302.25,1
15,65.828125,300.75,1
15,65.828125,302.0,1
15,65.828125,302.0,1
15,65.828125,302.0,1
15,65.828125,302.25,1
15,65.828125,302.25,1
15,65.828125,302.5,1
15,65.828125,302.75,1
15,65.84375,302.25,1
15,65.84375,302.5,1
15,65.859375,302.25,1
15,65.859375,302.25,1
15,65.859375,302.25,1
15,65.859375,302.75,1
15,65.859375,302.75,1
15,65.875,302.25,1
15,65.875,302.5,1
15,65.875,302.75,1
15,65.890625,301.25,1
15,65.890625,301.75,1
15,65.890625,302.0,1
15,65.890625,302.0,1
15,65.890625,302.25,1
15,65.890625,302.25,1
15,65.90625,300.75,1
15,65.90625,301.0,1
15,65.90625,301.0,1
15,65.90625,302.25,1
15,65.921875,299.5,1
